TimePST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,53.6,39.2,58,29.97,10.0,WNW,9.2,20.7,N/A,,Mostly Cloudy,290,2017-01-24 08:51:00
1:51 AM,53.1,39.9,61,29.97,10.0,WNW,8.1,-,N/A,,Mostly Cloudy,290,2017-01-24 09:51:00
2:51 AM,53.1,39.9,61,29.97,10.0,West,9.2,-,N/A,,Mostly Cloudy,280,2017-01-24 10:51:00
3:51 AM,53.6,39.2,58,29.98,10.0,WNW,8.1,-,N/A,,Mostly Cloudy,290,2017-01-24 11:51:00
4:51 AM,51.1,41.0,68,29.99,10.0,East,3.5,-,0.00,,Mostly Cloudy,100,2017-01-24 12:51:00
5:51 AM,48.9,41.0,74,30.01,10.0,North,3.5,-,N/A,,Mostly Cloudy,10,2017-01-24 13:51:00
6:51 AM,48.9,41.0,74,30.02,9.0,East,4.6,-,0.00,Rain,Light Rain,90,2017-01-24 14:51:00
7:25 AM,48.9,42.1,77,30.04,10.0,Variable,3.5,-,0.03,Rain,Light Rain,0,2017-01-24 15:25:00
7:51 AM,48.9,42.1,77,30.04,10.0,East,6.9,-,0.04,,Mostly Cloudy,90,2017-01-24 15:51:00
8:51 AM,52.0,44.1,74,30.05,10.0,East,5.8,-,N/A,,Mostly Cloudy,100,2017-01-24 16:51:00
9:51 AM,53.1,42.1,66,30.07,10.0,South,5.8,-,0.00,,Mostly Cloudy,170,2017-01-24 17:51:00
10:51 AM,54.0,42.1,64,30.09,10.0,WSW,4.6,-,0.00,Rain,Light Rain,250,2017-01-24 18:51:00
11:51 AM,54.0,44.1,69,30.06,10.0,SSW,3.5,-,0.00,,Mostly Cloudy,200,2017-01-24 19:51:00
12:51 PM,57.2,39.2,51,30.04,10.0,West,8.1,-,N/A,,Mostly Cloudy,280,2017-01-24 20:51:00
1:51 PM,55.9,39.9,55,30.04,10.0,SSW,6.9,-,N/A,,Mostly Cloudy,210,2017-01-24 21:51:00
2:51 PM,55.9,41.0,57,30.05,8.0,West,4.6,-,0.01,Rain,Light Rain,260,2017-01-24 22:51:00
3:51 PM,55.9,41.0,57,30.07,10.0,WNW,8.1,-,0.00,,Scattered Clouds,290,2017-01-24 23:51:00
4:51 PM,55.0,39.9,57,30.08,10.0,WNW,4.6,-,N/A,,Scattered Clouds,300,2017-01-25 00:51:00
5:51 PM,54.0,41.0,62,30.09,10.0,NW,3.5,-,N/A,,Scattered Clouds,320,2017-01-25 01:51:00
6:51 PM,53.1,41.0,64,30.11,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-25 02:51:00
7:51 PM,52.0,41.0,66,30.13,10.0,North,3.5,-,N/A,,Mostly Cloudy,10,2017-01-25 03:51:00
8:51 PM,51.1,41.0,68,30.15,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2017-01-25 04:51:00
9:51 PM,51.1,41.0,68,30.17,10.0,East,4.6,-,N/A,,Scattered Clouds,90,2017-01-25 05:51:00
10:51 PM,50.0,41.0,71,30.19,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2017-01-25 06:51:00
11:51 PM,48.9,41.0,74,30.19,10.0,East,3.5,-,N/A,,Partly Cloudy,80,2017-01-25 07:51:00
